Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
4481770,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
4481930,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
4482205,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
4482483,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
4518299,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
4528206,00000101,false,Rx,0,8,00,00,00,00,00,F0,00,00,
4538275,00000102,false,Rx,0,8,02,9A,01,00,00,C8,01,00,
4548298,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
4581708,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
4581998,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
4582273,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
4582549,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
4618336,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
4628352,00000101,false,Rx,0,8,00,00,00,00,00,F0,00,00,
4638416,00000102,false,Rx,0,8,02,9A,01,00,00,C8,01,00,
4648433,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
4681820,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
4681993,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
4682267,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
4682546,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
4718545,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
4728447,00000101,false,Rx,0,8,00,00,00,00,00,F0,00,00,
4738514,00000102,false,Rx,0,8,02,9A,01,00,00,C8,01,00,
4748541,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
4781702,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
4781987,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
4782146,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
4782420,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
4818545,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
4828603,00000101,false,Rx,0,8,00,00,00,00,00,F0,00,00,
4838673,00000102,false,Rx,0,8,02,9A,01,00,00,C8,01,00,
4848579,00000200,false,Rx,0,8,FF,00,00,00,FA,00,43,B2,
4881739,00000108,false,Rx,0,8,01,F4,01,0F,B3,01,00,00,
4881898,00000109,false,Rx,0,8,02,00,00,00,01,20,00,00,
4882175,00000208,false,Rx,0,8,FF,F4,01,F0,00,00,FA,00,
4882450,00000209,false,Rx,0,8,02,00,00,00,00,00,00,00,
4918806,00000100,false,Rx,0,8,00,00,00,00,B3,01,64,00,
4928712,00000101,false,Rx,0,8,00,00,00,00,00,F0,00,00,
4938755,00000102,false,Rx,0,8,02,9A,01,00,00,C8,01,00,
